@relation 'User_Input_V2 (3)-weka.filters.unsupervised.attribute.NumericToNominal-R9,17,18,19-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.NumericToNominal-R6,7-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NumericToNominal-R14-weka.filters.unsupervised.attribute.Remove-R1,4-5,11,21-22,28,32,39,48-49'

@attribute device_id {403,404,405,406}
@attribute ts {2020-12-14T22:58:43.180,2020-12-14T22:59:08.303,2020-12-14T22:59:32.353,2020-12-14T22:59:55.954,2020-12-14T23:00:19.153,2020-12-14T23:00:40.703,2020-12-14T23:01:07.153,2020-12-14T23:01:28.918,2020-12-14T23:01:54.569,2020-12-14T23:02:21.366,2020-12-14T23:02:45.618,2020-12-14T23:03:19.721,2020-12-14T23:03:34.167,2020-12-14T23:03:58.681,2020-12-14T23:04:13.969,2020-12-14T23:04:28.318,2020-12-14T23:04:45.168,2020-12-14T23:05:05.519,2020-12-14T23:05:33.069,2020-12-14T23:05:57.020,2020-12-14T23:06:17.732,2020-12-14T23:06:41.670,2020-12-14T23:07:06.168,2020-12-14T23:07:23.719,2020-12-14T23:07:46.320,2020-12-14T23:08:14.320,2020-12-14T23:08:58.124,2020-12-14T23:09:16.073,2020-12-14T23:09:38.496,2020-12-14T23:09:58.582,2020-12-14T23:10:24.822,2020-12-14T23:10:54.620,2020-12-14T23:11:15.071,2020-12-14T23:11:38.623,2020-12-14T23:11:59.970,2020-12-14T23:12:31.081,2020-12-14T23:13:00.823,2020-12-14T23:13:33.715,2020-12-14T23:14:00.916,2020-12-14T23:14:19.921,2020-12-14T23:14:44.884,2020-12-14T23:15:12.533,2020-12-14T23:15:39.872,2020-12-14T23:15:58.372,2020-12-14T23:16:14.125,2020-12-14T23:16:53.216,2020-12-14T23:17:24.667,2020-12-14T23:17:44.467,2020-12-14T23:18:09.968,2020-12-14T23:18:53.918,2020-12-14T23:19:09.167,2020-12-14T23:19:34.669,2020-12-14T23:20:07.667,2020-12-14T23:20:34.066,2020-12-14T23:21:03.531,2020-12-14T23:21:31.168,2020-12-14T23:21:59.868,2020-12-14T23:22:23.869,2020-12-14T23:22:52.569,2020-12-14T23:23:20.969,2020-12-14T23:23:42.669,2020-12-14T23:24:22.719,2020-12-14T23:24:50.468,2020-12-14T23:25:18.817,2020-12-15T09:30:58.988,2020-12-15T09:31:56.743,2020-12-15T09:33:07.391,2020-12-15T09:33:47.197,2020-12-15T09:36:29.451,2020-12-15T13:48:39.050,2020-12-15T13:50:39.885,2020-12-15T13:51:00.081,2020-12-15T13:51:13.288,2020-12-15T13:51:34.695,2020-12-15T13:52:14.614,2020-12-15T13:52:32.022,2020-12-15T13:52:48.271,2020-12-15T13:52:59.478,2020-12-15T13:53:30.076,2020-12-15T13:58:11.540,2020-12-15T13:58:24.144,2020-12-15T13:58:40.846,2020-12-15T13:58:50.745,2020-12-15T13:59:08.550,2020-12-15T13:59:19.881,2020-12-15T13:59:30.633,2020-12-15T13:59:50.297,2020-12-15T14:00:03.359,2020-12-15T14:01:02.708,2020-12-15T14:02:10.168,2020-12-15T15:03:31.517,2020-12-15T15:04:35.201,2020-12-15T15:05:14.395,2020-12-15T15:06:25.547,2020-12-15T15:06:55.557,2020-12-15T15:07:48.851,2020-12-15T15:08:19.999,2020-12-15T15:08:56.567,2020-12-15T15:09:22.947,2020-12-15T15:09:50.103,2020-12-15T15:10:07.252,2020-12-15T15:10:41.951,2020-12-15T15:11:07.184,2020-12-15T15:11:47.287,2020-12-15T15:12:12.041,2020-12-15T15:12:44.540,2020-12-15T15:13:05.488,2020-12-15T15:13:31.390,2020-12-15T15:13:58.840,2020-12-15T15:14:52.715,2020-12-15T15:15:33.197,2020-12-15T15:16:11.348,2020-12-15T15:16:32.601,2020-12-15T15:17:14.549,2020-12-15T15:17:49.219,2020-12-15T15:18:06.322,2020-12-15T15:18:19.321,2020-12-15T15:18:43.769,2020-12-15T15:18:56.420,2020-12-15T15:19:18.883,2020-12-15T15:19:42.070,2020-12-15T15:20:05.168,2020-12-15T15:20:24.428,2020-12-15T15:20:38.869,2020-12-15T15:21:34.470,2020-12-15T15:21:54.420,2020-12-15T15:22:07.668,2020-12-15T15:22:20.121,2020-12-15T15:22:34.371,2020-12-15T15:22:45.200,2020-12-15T15:22:56.730,2020-12-15T15:23:15.821,2020-12-15T15:23:25.048,2020-12-15T15:23:34.936,2020-12-15T15:23:48.271,2020-12-15T15:24:16.702,2020-12-15T15:24:50.474,2020-12-15T15:25:18.071,2020-12-15T15:25:18.802,2020-12-15T15:25:37.522,2020-12-15T15:25:51.570,2020-12-15T15:25:57.606,2020-12-15T15:26:25.472,2020-12-15T15:26:33.852,2020-12-15T15:27:05.955,2020-12-15T15:27:07.470,2020-12-15T15:27:35.522,2020-12-15T15:27:47.825,2020-12-15T15:27:52.173,2020-12-15T15:28:03.675,2020-12-15T15:28:11.504,2020-12-15T15:28:38.884,2020-12-15T15:29:03.605,2020-12-15T15:29:12.371,2020-12-15T15:29:28.520,2020-12-15T15:29:30.657,2020-12-15T15:29:58.570,2020-12-15T15:30:50.671,2020-12-15T15:31:05.471,2020-12-15T15:31:54.823,2020-12-15T15:32:15.182,2020-12-15T15:32:17.670,2020-12-15T15:32:44.215,2020-12-15T15:33:08.217,2020-12-15T15:35:01.585,2020-12-15T15:35:33.270,2020-12-15T15:36:24.772,2020-12-15T15:37:49.571,2020-12-15T15:38:00.671,2020-12-15T15:38:38.569,2020-12-15T15:39:58.818,2020-12-15T15:40:45.127,2020-12-15T15:41:39.568,2020-12-15T15:42:37.869,2020-12-15T15:42:58.068,2020-12-15T15:43:22.469,2020-12-15T15:43:52.220,2020-12-15T15:44:23.617,2020-12-15T15:44:49.169,2020-12-15T15:45:12.119,2020-12-15T15:47:01.780,2020-12-15T15:47:38.119,2020-12-15T15:48:02.871,2020-12-15T15:48:44.169,2020-12-15T15:48:55.918,2020-12-15T15:49:26.070,2020-12-15T15:49:48.821,2020-12-15T15:50:10.121,2020-12-15T17:04:44.339,2020-12-15T17:05:03.440,2020-12-15T17:06:11.200,2020-12-15T17:06:28.259,2020-12-15T17:07:17.016,2020-12-15T17:07:29.914,2020-12-15T17:09:10.393,2020-12-15T17:09:38.042,2020-12-15T17:10:01.210,2020-12-15T17:10:53.714,2020-12-15T17:11:06.221,2020-12-15T17:11:27.224,2020-12-15T17:11:37.727,2020-12-15T17:12:21.126,2020-12-15T17:12:30.274,2020-12-15T17:12:57.863,2020-12-15T17:13:41.111,2020-12-15T17:14:03.815,2020-12-15T17:14:21.216,2020-12-15T17:14:34.723,2020-12-15T17:14:34.972,2020-12-15T17:19:48.956,2020-12-15T17:20:03.704,2020-12-15T17:50:38.911,2020-12-15T17:51:17.163,2020-12-15T17:52:01.117,2020-12-15T17:52:39.017,2020-12-15T17:53:01.959,2020-12-15T17:53:32.868,2020-12-15T17:54:08.422,2020-12-15T17:54:41.820,2020-12-15T17:55:41.532,2020-12-15T17:56:20.235,2020-12-15T17:56:49.114,2020-12-15T17:57:25.479,2020-12-15T17:57:48.417,2020-12-15T17:58:24.226,2020-12-15T17:59:26.134,2020-12-15T18:00:00.541,2020-12-15T18:01:37.177,2020-12-15T18:02:52.327,2020-12-15T18:08:36.463,2020-12-15T18:09:11.501,2020-12-15T18:10:19.745,2020-12-15T18:10:51.585,2020-12-15T18:11:35.502,2020-12-15T18:12:59.458,2020-12-15T18:13:28.845,2020-12-15T18:13:48.702,2020-12-15T18:14:14.103,2020-12-15T18:15:27.170,2020-12-15T18:16:35.216,2020-12-15T18:16:52.745,2020-12-15T18:18:13.527,2020-12-15T18:18:47.565,2020-12-15T18:19:43.930,2020-12-15T18:20:34.421,2020-12-15T18:20:57.516,2020-12-15T18:22:52.268,2020-12-15T18:25:44.528,2020-12-15T18:28:25.691}
@attribute Breakfast {0,1}
@attribute Dinner {0,1}
@attribute Energy_Feeling {-2,-1,0,1,2}
@attribute Fit_Goal {-2,-1,0,1,2}
@attribute Food_Preference {-2,-1,0,1,2}
@attribute Lunch {0,1}
@attribute meal {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64}
@attribute Meal_Difficulty {'Easy to Make','Very easy to Make','Hard to Make'}
@attribute Meal_Heavy/Light {'Light and Not Filling','Just Right for Me','Heavy and Filling'}
@attribute Meal_Reason {'High Protein','High Carb','High Fat','High Fibre'}
@attribute Set_Activity {-2,-1,0,1}
@attribute Set_Feeling {-2,0,1}
@attribute Set_Goal {-2,-1}
@attribute Target_Cal numeric
@attribute Username {turbo,Potato,tomato,heyMando}
@attribute xAlmonds {FALSE,TRUE}
@attribute xApple {FALSE,TRUE}
@attribute xBacon {FALSE,TRUE}
@attribute xBeef {FALSE,TRUE}
@attribute xbutter {FALSE,TRUE}
@attribute xCheese {FALSE,TRUE}
@attribute xChicken {FALSE,TRUE}
@attribute xCoconut {FALSE,TRUE}
@attribute xCorn {FALSE,TRUE}
@attribute xEgg {TRUE,FALSE}
@attribute xFennel {FALSE,TRUE}
@attribute xFlour {FALSE,TRUE}
@attribute xGarlic {TRUE,FALSE}
@attribute xMayonnaise {FALSE,TRUE}
@attribute xMushrooms {FALSE,TRUE}
@attribute 'xOlive Oil' {TRUE,FALSE}
@attribute xOnion {FALSE,TRUE}
@attribute xOrange {FALSE,TRUE}
@attribute xPork {FALSE,TRUE}
@attribute xRice {FALSE,TRUE}
@attribute xSalt {TRUE,FALSE}
@attribute xSugar {FALSE,TRUE}
@attribute xTurkey {FALSE,TRUE}
@attribute 'xVegetable Oil' {FALSE,TRUE}
@attribute 'xWhole Milk' {FALSE,TRUE}

@data
403,2020-12-15T13:51:13.288,0,0,1,-2,2,1,4,'Very easy to Make','Heavy and Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
403,2020-12-15T13:51:34.695,0,0,1,1,2,1,5,'Easy to Make','Just Right for Me','High Fibre',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
403,2020-12-15T13:52:14.614,0,0,1,1,2,1,6,'Easy to Make','Just Right for Me','High Fibre',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:52:32.022,0,0,0,-2,2,0,7,'Hard to Make','Heavy and Filling','High Protein',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:52:48.271,0,0,-1,-1,2,1,8,'Easy to Make','Just Right for Me','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:52:59.478,0,0,0,2,2,1,9,'Easy to Make','Heavy and Filling','High Fibre',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:53:30.076,0,0,0,-1,2,0,10,'Hard to Make','Heavy and Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:58:11.540,0,0,1,-2,2,0,12,'Easy to Make','Heavy and Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:58:24.144,0,0,1,-2,2,0,13,'Easy to Make','Heavy and Filling','High Fat',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:58:40.846,0,0,0,0,2,1,14,'Easy to Make','Heavy and Filling','High Fibre',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:58:50.745,0,0,1,-2,2,0,15,'Easy to Make','Light and Not Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T13:59:08.550,0,0,0,-2,2,0,16,'Easy to Make','Heavy and Filling','High Carb',-2,0,-2,500,tomato,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
403,2020-12-15T13:59:19.881,0,0,0,-2,2,0,17,'Easy to Make','Heavy and Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
403,2020-12-15T13:59:30.633,0,0,0,-2,2,0,18,'Very easy to Make','Light and Not Filling','High Carb',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
403,2020-12-15T13:59:50.297,0,0,1,-2,2,1,19,'Very easy to Make','Heavy and Filling','High Fat',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T14:00:03.359,0,0,0,1,2,1,20,'Very easy to Make','Just Right for Me','High Protein',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T14:01:02.708,0,0,0,1,1,0,21,'Easy to Make','Just Right for Me','High Fibre',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
403,2020-12-15T14:02:10.168,0,0,0,-1,1,1,22,'Easy to Make','Heavy and Filling','High Fat',-2,0,-2,500,tomato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:03:31.517,0,0,0,-1,-1,0,1,'Very easy to Make','Heavy and Filling','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:04:35.201,0,0,2,1,1,1,2,'Easy to Make','Just Right for Me','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:05:14.395,0,0,2,0,2,1,3,'Hard to Make','Just Right for Me','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:06:25.547,0,0,-1,-2,0,0,4,'Easy to Make','Heavy and Filling','High Carb',0,-2,-1,400,heyMando,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
406,2020-12-15T15:06:55.557,0,0,2,1,2,1,5,'Easy to Make','Just Right for Me','High Carb',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
406,2020-12-15T15:07:48.851,0,0,0,-2,-1,0,6,'Very easy to Make','Light and Not Filling','High Fat',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:08:19.999,0,0,2,2,2,1,7,'Hard to Make','Just Right for Me','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:08:56.567,0,0,2,0,0,1,8,'Easy to Make','Heavy and Filling','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:09:22.947,0,0,2,1,1,1,9,'Very easy to Make','Heavy and Filling','High Fibre',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:09:50.103,0,0,-1,-1,0,0,10,'Easy to Make','Heavy and Filling','High Carb',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:10:07.252,0,0,1,-1,1,1,11,'Hard to Make','Heavy and Filling','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:10:41.951,0,0,2,-2,-1,0,12,'Hard to Make','Heavy and Filling','High Carb',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:11:07.184,0,0,-2,-2,-1,0,13,'Hard to Make','Heavy and Filling','High Fat',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:11:47.287,0,0,2,2,2,1,14,'Easy to Make','Just Right for Me','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:12:12.041,0,0,-2,-2,-2,0,15,'Very easy to Make','Light and Not Filling','High Fat',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:12:44.540,0,0,-2,-2,-2,0,16,'Hard to Make','Light and Not Filling','High Fat',0,-2,-1,400,heyMando,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
406,2020-12-15T15:13:05.488,0,0,0,-2,-2,0,17,'Hard to Make','Heavy and Filling','High Fat',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
406,2020-12-15T15:13:31.390,0,0,0,-2,1,0,18,'Very easy to Make','Light and Not Filling','High Fibre',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
406,2020-12-15T15:13:58.840,0,0,0,-2,0,0,19,'Very easy to Make','Heavy and Filling','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:14:52.715,0,0,1,-2,1,0,20,'Very easy to Make','Just Right for Me','High Fat',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:15:33.197,0,0,0,0,-2,0,21,'Easy to Make','Heavy and Filling','High Fibre',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:16:11.348,0,0,2,1,2,1,22,'Very easy to Make','Just Right for Me','High Protein',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,2020-12-15T15:16:32.601,0,0,1,0,-1,1,23,'Very easy to Make','Just Right for Me','High Carb',0,-2,-1,400,heyMando,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
405,2020-12-15T15:17:14.549,0,0,1,1,1,1,1,'Easy to Make','Light and Not Filling','High Protein',1,1,-1,400,turbo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
405,2020-12-15T15:17:49.219,0,0,0,1,0,1,2,'Hard to Make','Light and Not Filling','High Fat',1,1,-1,400,turbo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
405,2020-12-15T15:18:06.322,0,0,-1,1,-1,1,3,'Easy to Make','Just Right for Me','High Protein',1,1,-1,400,turbo,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
405,2020-12-15T15:18:19.321,0,0,1,-1,2,1,4,'Easy to Make','Just Right for Me','High Carb',1,1,-1,400,turbo,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
405,2020-12-15T15:18:43.769,0,0,0,1,1,1,5,'Easy to Make','Just Right for Me','High Protein',1,1,-1,400,turbo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
